Nombre de la empresa;Categoria de la empresa;Condicion de la empresa;Rubro de la empresa;Fecha de ingreso de la empresa;Fecha de egreso de la empresa;Motivo de asociacion de la empresa;Motivos de asociacion de la empresa detallados;La empresa pertenece al board;La empresa es de Cordoba;La empresa es sponsor;La empresa es de origen americano;La empresa pertenece al consejo asesor;CUIT de la empresa;Sitio web de la empresa;Email general de la empresa 1;Email general de la empresa 2;Email general de la empresa 3;Ciclo de facturacion de la empresa;ID de la empresa;Estado de la empresa
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
